date,min,max,mean,stDev
2020-04-21,-2.1111993646627525e-06,6.298648077063262e-05,2.612263227180345e-05,1.596116707421613e-05
2020-04-22,-5.011561370338313e-07,4.565368726616725e-05,2.1228738730494986e-05,1.1960459885876357e-05
2020-04-23,1.0942648259515408e-05,4.567719224723987e-05,2.899808000448429e-05,8.892123516097504e-06
2020-04-24,7.78921639721375e-06,6.789066537749022e-05,1.987972654355876e-05,9.774500364630578e-06
2020-04-25,1.1267568879702594e-05,3.0842282285448164e-05,2.0127531996153208e-05,6.288879725795974e-06
2020-04-26,5.2092950681981165e-06,2.3117732780519873e-05,1.4132522702661464e-05,4.713930150233507e-06
2020-04-27,NaN,NaN,NaN,NaN
2020-04-28,-5.199191946303472e-06,9.112160478252918e-05,3.5873422442426126e-05,2.3169705863626204e-05
2020-04-29,2.3908190996735357e-05,2.3908190996735357e-05,2.3908190996735357e-05,0.0
2020-04-30,5.777318165200995e-06,3.163736255373806e-05,1.2495069901605659e-05,6.840778314637727e-06
